ID,CodeFigureForIXIIXIX,CodeFigureForBUFR,InstrumentMakeAndType_ru,EquationCoefficients_a,EquationCoefficients_b,Status,translation_source
C03/1,001,1,Sippican T-4,6.472,-2.16,Operational,PDF
C03/2,002,2,Sippican T-4,6.691,-2.25,Operational,PDF
C03/11,011,11,Sippican T-5,6.828,-1.82,Operational,PDF
C03/21,021,21,Sippican Fast Deep,6.346,-1.82,Operational,PDF
C03/31,031,31,Sippican T-6,6.472,-2.16,Operational,PDF
C03/32,032,32,Sippican T-6,6.691,-2.25,Operational,PDF
C03/41,041,41,Sippican T-7,6.472,-2.16,Operational,PDF
C03/42,042,42,Sippican T-7,6.691,-2.25,Operational,PDF
C03/51,051,51,Sippican Deep Blue,6.472,-2.16,Operational,PDF
C03/52,052,52,Sippican Deep Blue,6.691,-2.25,Operational,PDF
C03/61,061,61,Sippican T-10,6.301,-2.16,Operational,PDF
C03/71,071,71,Sippican T-11,1.7779,-0.255,Operational,PDF
C03/81,081,81,Sippican AXBT (датчики до 300 м),1.52,0.0,Operational,PDF
C03/201,201,201,TSK T-4,6.472,-2.16,Operational,PDF
C03/202,202,202,TSK T-4,6.691,-2.25,Operational,PDF
C03/211,211,211,TSK T-6,6.472,-2.16,Operational,PDF
C03/212,212,212,TSK T-6,6.691,-2.25,Operational,PDF
C03/221,221,221,TSK T-7,6.472,-2.16,Operational,PDF
C03/222,222,222,TSK T-7,6.691,-2.25,Operational,PDF
C03/231,231,231,TSK T-5,6.828,-1.82,Operational,PDF
C03/241,241,241,TSK T-10,6.301,-2.16,Operational,PDF
C03/251,251,251,TSK Deep Blue,6.472,-2.16,Operational,PDF
C03/252,252,252,TSK Deep Blue,6.691,-2.25,Operational,PDF
C03/261,261,261,TSK AXBT,,,Operational,PDF
C03/401,401,401,Sparton XBT-1,6.301,-2.16,Operational,PDF
C03/411,411,411,Sparton XBT-3,5.861,-0.0904,Operational,PDF
C03/421,421,421,Sparton XBT-4,6.472,-2.16,Operational,PDF
C03/431,431,431,Sparton XBT-5,6.828,-1.82,Operational,PDF
C03/441,441,441,Sparton XBT-5DB,6.828,-1.82,Operational,PDF
C03/451,451,451,Sparton XBT-6,6.472,-2.16,Operational,PDF
C03/461,461,461,Sparton XBT-7,6.472,-2.16,Operational,PDF
C03/462,462,462,Sparton XBT-7,6.705,-2.28,Operational,PDF
C03/471,471,471,Sparton XBT-7DB,6.472,-2.16,Operational,PDF
C03/481,481,481,Sparton XBT-10,6.301,-2.16,Operational,PDF
C03/491,491,491,Sparton XBT-20,6.472,-2.16,Operational,PDF
C03/501,501,501,Sparton XBT-20DB,6.472,-2.16,Operational,PDF
C03/510,510,510,Sparton 536 AXBT,1.524,0,Operational,PDF
C03/700,700,700,Sippican XCTD Standard,,,Operational,PDF
C03/710,710,710,Sippican XCTD Deep,,,Operational,PDF
C03/720,720,720,Sippican AXCTD,,,Operational,PDF
C03/730,730,730,Sippican SXCTD,,,Operational,PDF
C03/741,741,741,TSK XCTD/XCTD-1,3.42543,-0.47,Operational,PDF
C03/742,742,742,TSK XCTD-2,3.43898,-0.31,Operational,PDF
C03/743,743,743,TSK XCTD-2F,3.43898,-0.31,Operational,PDF
C03/744,744,744,TSK XCTD-3,5.07598,-0.72,Operational,PDF
C03/745,745,745,TSK XCTD-4,3.68081,-0.47,Operational,PDF
C03/751,751,751,TSK AXCTD,,,Operational,PDF
C03/780,780,780,Термосалинограф Sea-Bird,Not applicable,Not applicable,Operational,PDF
C03/781,781,781,Термосалинограф Sea-Bird,Not applicable,Not applicable,Operational,PDF
C03/800,800,800,Mechanical BT,Not applicable,Not applicable,Operational,PDF
C03/810,810,810,Hydrocast,Not applicable,Not applicable,Operational,PDF
C03/820,820,820,Цепь термисторов,Not applicable,Not applicable,Operational,PDF
C03/825,825,825,Датчики температуры,Not applicable,Not applicable,Operational,PDF
C03/830,830,830,CTD,Not applicable,Not applicable,Operational,PDF
C03/831,831,831,Буй CTD-P-ALACE,Not applicable,Not applicable,Operational,PDF
C03/835,835,835,PROVOR-IV,Not applicable,Not applicable,Operational,PDF
C03/836,836,836,PROVOR-III,Not applicable,Not applicable,Operational,PDF
C03/837,837,837,"ARVOR_C, датчик проводимости SBE",,,Operational,PDF
C03/838,838,838,"ARVOR_D, датчик проводимости SBE",,,Operational,PDF
C03/839,839,839,"PROVOR-II, датчик проводимости SBE",,,Operational,PDF
C03/840,840,840,"PROVOR, без датчика",Not applicable,Not applicable,Operational,PDF
